ID,asOfDate,type,description,currency,originalNotional,currentNotional,price_date,price_source,price,marketValue,accruedAmount,cusip,isin,fund_name,fund_id,cdoDealId,rmbsClassId,Security_Name,Security_Master_ID,Class_ID,Issuer_Name,Issuer_Id,account_ID,rating_Moody,rating_Sp,rating_fitch,ratings,coupon,asset_class,asset_detail,capital_structure,funded_status,rating_category,rating_level,long_short_io,ZaisId,asset_subclass,Fund_Currency,floating_index_code,IMFactor,Moodys_Derived_Rating,Fund_Is_Deferring,Recovery_Rate
196655546,2021-05-16 00:00:00.0000000,"Bond","MCLO 2013-5A SUB","USD",17600000.00,17600000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",5.6539000000,995086.40,0.00,"56576UAC3","US56576UAC36","CDO OPPORTUNITY",2,,,"MCLO 2013-5A SUB",346274,5364387,"MARATHON CLO V, LTD.",72847,,"NR        ",,,"NR/-/-","0.000000 %","HY",,"Equity",,,3000,"Long",,"HY CLO","USD","US0003M",1,,,
196655550,2021-05-16 00:00:00.0000000,"Bond","HULLS 2014-1A F","USD",2860000.00,3160238.46,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",0.5000000000,15801.19,13841.25,"444837AC2","US444837AC21","CDO OPPORTUNITY",2,,,"HULLS 2014-1A F",343681,5389709,"HULL STREET CLO LTD.",5183671,,,"CCC-*-    ",,"-/CCC-*-/-","3M L + 5 bps","HY",,"Mezz",,,3000,"Long",,"HY CLO","USD","US0003M",1.104978483,,,
196655554,2021-05-16 00:00:00.0000000,"Bond","BOWPK 2014-1A SUB","USD",5000000.00,5000000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",17.1205000000,856025.00,0.00,"10302WAE3","US10302WAE30","CDO OPPORTUNITY",2,,,"BOWPK 2014-1A SUB",343723,5389750,"BOWMAN PARK CLO",5183806,,"NR        ","NR        ",,"NR/NR/-","0.000000 %","HY",,"Equity",,,3000,"Long",,"HY CLO","USD","",1,,,
196655578,2021-05-16 00:00:00.0000000,"Bond","SNDPT 2014-3RA SUB","USD",6850000.00,6850000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",17.1500000000,1174775.00,0.00,"83609DAE2","US83609DAE22","CDO OPPORTUNITY",2,,,"SNDPT 2014-3RA SUB",344164,5390089,"SOUND POINT CLO VII",5183761,,"NR        ",,,"NR/-/-","0.000000 %","HY",,"Equity",,,3000,"Long",,"HY CLO","USD","",1,,,
196655582,2021-05-16 00:00:00.0000000,"Bond","MDPK 2014-12A SUB","USD",9600000.00,9600000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",26.4972000000,2543731.20,0.00,"55818QAE8","US55818QAE89","CDO OPPORTUNITY",2,,,"MDPK 2014-12A SUB",344209,5390112,"MADISON PARK FUNDING XII, LTD",5183457,,,,,"-/-/-","0.000000 %","HY",,"Equity",,,3000,"Long",,"HY CLO","USD","US0003M",1,,,
196655584,2021-05-16 00:00:00.0000000,"Bond","BABSN 2015-IA SUB","USD",3400000.00,3400000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",32.2779000000,1097448.60,0.00,"05616JAE3","US05616JAE38","CDO OPPORTUNITY",2,,,"BABSN 2015-IA SUB",344487,5390343,"BABSON CLO LTD. 2015-I",5183926,,"NR        ",,,"NR/-/-","0.000000 %","HY",,"Equity",,,3000,"Long",,"HY CLO","USD","",1,,,
196655586,2021-05-16 00:00:00.0000000,"Bond","JTWN 2014-4X SUB","USD",3000000.00,,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",3.3176500000,,,"BCC274HM4","USG8228KAC11","CDO OPPORTUNITY",2,,,"JTWN 2014-4X SUB",346571,5391620,"JAMESTOWN CLO IV LTD.",5183447,,"NR        ",,,"NR/-/-","0.000000 %","HY",,"Equity",,,3000,"Long",,"HY CLO","USD","",,,,
196655587,2021-05-16 00:00:00.0000000,"Bond","JTWN 2014-4A SUB","USD",2750000.00,,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",3.3176500000,,,"47047UAE9","US47047UAE91","CDO OPPORTUNITY",2,,,"JTWN 2014-4A SUB",345628,5391620,"JAMESTOWN CLO IV LTD.",5183447,,"NR        ",,,"NR/-/-","0.000000 %","HY",,"Equity",,,3000,"Long",,"HY CLO","USD","",,,,
196655588,2021-05-16 00:00:00.0000000,"Bond","SNDPT 2013-3RA SUB","USD",19500000.00,19500000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",18.7000000000,3646500.00,0.00,"83608MAE3","US83608MAE30","CDO OPPORTUNITY",2,,,"SNDPT 2013-3RA SUB",346294,5392020,"SOUND POINT CLO IV",5157253,,"NR        ",,,"NR/-/-","0.000000 %","HY",,"Equity",,,3000,"Long",,"HY CLO","USD","US0003M",1,,,
196655592,2021-05-16 00:00:00.0000000,"Bond","MDPK 2014-14A SUB","USD",12725000.00,12725000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",54.1326000000,6888373.35,0.00,"55818TAE2","US55818TAE29","CDO OPPORTUNITY",2,,,"MDPK 2014-14A SUB",346550,5392241,"MADISON PARK FUNDING XIV, LTD.",5183570,,"NR        ",,,"NR/-/-","0.000000 %","HY",,"Equity",,,3000,"Long",,"HY CLO","USD","US0003M",1,,,
196655615,2021-05-16 00:00:00.0000000,"Bond","ATRM 11A SUB","USD",3500000.00,3500000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",0.1309000000,4581.50,0.00,"04964UAE9","US04964UAE91","CDO OPPORTUNITY",2,,,"ATRM 11A SUB",347712,5393087,"ATRIUM XI",5181465,,"NR        ",,,"NR/-/-","0.000000 %","HY",,"Equity",,,3000,"Long",,"HY CLO","USD","",1,,,
196655619,2021-05-16 00:00:00.0000000,"Bond","CIFC 2015-1A SUB","USD",5678500.00,5678500.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",50.0571000000,2842492.42,0.00,"12548NAG8","US12548NAG88","CDO OPPORTUNITY",2,,,"CIFC 2015-1A SUB",348577,5393190,"CIFC FUNDING 2015-I LTD.",5183881,,,,,"-/-/-","0.000000 %","HY",,"Equity",,,3000,"Long",,"HY CLO","USD","US0003M",1,,,
196655622,2021-05-16 00:00:00.0000000,"Bond","VOYA 2015-1A SUB","USD",8900000.00,8900000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",14.2052000000,1264262.80,0.00,"92914QAE4","US92914QAE44","CDO OPPORTUNITY",2,,,"VOYA 2015-1A SUB",347777,5393487,"VOYA CLO 2015-1, LTD",5183887,,,,,"-/-/-","0.000000 %","HY",,"Equity",,,3000,"Long",,"HY CLO","USD","US0003M",1,,,
196655624,2021-05-16 00:00:00.0000000,"Bond","VOYA 2015-1X SUB","USD",230000.00,230000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",14.2052000000,32671.96,0.00,"G94017AC7","USG94017AC77","CDO OPPORTUNITY",2,,,"VOYA 2015-1X SUB",353741,5393487,"VOYA CLO 2015-1, LTD",5183887,,,,,"-/-/-","0.000000 %","HY",,"Equity",,,3000,"Long",,"HY CLO","USD","US0003M",1,,,
196655627,2021-05-16 00:00:00.0000000,"Bond","BLUEM 2015-2X F","USD",1000000.00,1000000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",84.1033000000,841033.00,5242.31,"BCC29B044","USG12026AB95","CDO OPPORTUNITY",2,,,"BLUEM 2015-2X F",350112,5395266,"BLUEMOUNTAIN CLO 2015-2 LTD.",5183977,,,"CCC+      ",,"-/CCC+/-","3M L + 6 bps","HY",,"Mezz",,,3000,"Long",,"HY CLO","USD","US0003M",1,,,
196655628,2021-05-16 00:00:00.0000000,"Bond","OZLM 2015-13A D","USD",2400000.00,2400000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",92.8110000000,2227464.00,6011.20,"67110CAA7","US67110CAA71","CDO OPPORTUNITY",2,,,"OZLM 2015-13A D",350409,5395433,"OZLM XIII, LTD",5184014,,"Ba3       ",,,"Ba3/-/-","3M L + 5 bps","HY",,"Mezz",,,3000,"Long",,"HY CLO","USD","US0003M",1,,,
196655632,2021-05-16 00:00:00.0000000,"Bond","CIFC 2015-2X INC","USD",9450000.00,9450000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",49.4000000000,4668300.00,0.00,"G2144KAA9","USG2144KAA90","CDO OPPORTUNITY",2,,,"CIFC 2015-2X INC",350338,5395436,"CIFC FUNDING 2015-II LTD.",5183928,,,,,"-/-/-","0.000000 %","HY",,"Equity",,,3000,"Long",,"HY CLO","USD","US0003M",1,,,
196655633,2021-05-16 00:00:00.0000000,"Bond","CIFC 2015-2A INC","USD",550000.00,550000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",49.4000000000,271700.00,0.00,"12550KAA2","US12550KAA25","CDO OPPORTUNITY",2,,,"CIFC 2015-2A INC",350339,5395436,"CIFC FUNDING 2015-II LTD.",5183928,,,,,"-/-/-","0.000000 %","HY",,"Equity",,,3000,"Long",,"HY CLO","USD","US0003M",1,,,
196655662,2021-05-16 00:00:00.0000000,"Bond","STCR 2016-1A SUB","USD",7000000.00,7000000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",46.8256000000,3277792.00,0.00,"85816TAA9","US85816TAA97","CDO OPPORTUNITY",2,,,"STCR 2016-1A SUB",353697,5396943,"STEELE CREEK CLO 2016-1, LTD.",5184397,,,,,"-/-/-","0.000000 %","HY",,"Equity",,,3000,"Long",,"HY CLO","USD","US0003M",1,,,
196655669,2021-05-16 00:00:00.0000000,"Bond","CIFC 2015-1A INC","USD",1000000.00,1000000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",50.0571000000,500571.00,0.00,"12548PAA6","US12548PAA66","CDO OPPORTUNITY",2,,,"CIFC 2015-1A INC",353566,5397419,"CIFC FUNDING 2015-I LTD.",5183881,,,,,"-/-/-","0.000000 %","HY",,"Equity",,,3000,"Long",,"HY CLO","USD","US0003M",1,,,
196655695,2021-05-16 00:00:00.0000000,"Bond","STACR 2017-DNA2 M2","USD",509000.00,509000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",103.8240300000,528464.31,1005.59,"3137G0NX3","US3137G0NX39","CDO OPPORTUNITY",2,,,"STACR 2017-DNA2 M2",353035,5397746,"STRUCTURED AGENCY CREDIT RISK DEBT NOTES 2017-DNA2",5184530,,,,,"-/-/-","1M L + 3 bps","CRT",,"Mezz CRT",,,3000,"Long",,"CRT","USD","US0001M",1,,,
196655702,2021-05-16 00:00:00.0000000,"Bond","OCP 2013-4A DR","USD",1000000.00,1000000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",98.7915000000,987915.00,3858.75,"67105KAE8","US67105KAE82","CDO OPPORTUNITY",2,,,"OCP 2013-4A DR",353329,5398095,"OCP CLO 2013-4, LTD.",5157186,,,"B+        ",,"-/B+/-","3M L + 6 bps","HY",,"Mezz",,,3000,"Long",,"HY CLO","USD","US0003M",1,,,
196655709,2021-05-16 00:00:00.0000000,"Bond","TRAL 2013-1A ER","USD",2500000.00,2500000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",90.4724000000,2261810.00,14513.51,"89289UAY4","US89289UAY47","CDO OPPORTUNITY",2,,,"TRAL 2013-1A ER",353386,5398183,"TRALEE CLO II, LTD",5156978,,,"B-        ",,"-/B-/-","3M L + 7 bps","HY",,"Mezz",,,3000,"Long",,"HY CLO","USD","US0003M",1,,,
196655714,2021-05-16 00:00:00.0000000,"Bond","BLUEM 2013-2A FR","USD",2900000.00,2900000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",84.7712000000,2458364.80,16305.25,"09626XAJ1","US09626XAJ19","CDO OPPORTUNITY",2,,,"BLUEM 2013-2A FR",353505,5398279,"BLUEMOUNTAIN CLO LTD 2013-2",5157234,,,"CCC+      ",,"-/CCC+/-","3M L + 8 bps","HY",,"Mezz",,,3000,"Long",,"HY CLO","USD","US0003M",1,,,
196655739,2021-05-16 00:00:00.0000000,"Bond","CIFC 2017-5A SUB","USD",3300000.00,3300000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",58.0000000000,1914000.00,0.00,"12551NAC1","US12551NAC11","CDO OPPORTUNITY",2,,,"CIFC 2017-5A SUB",353507,5398285,"CIFC FUNDING LTD 2017-5",5184649,,,,,"-/-/-","0.000000 %","HY",,"Equity",,,3000,"Long",,"HY CLO","USD","US0003M",1,,,
196655743,2021-05-16 00:00:00.0000000,"Bond","ICG 2014-1A ER","USD",1716000.00,1716000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",87.4379000000,1500434.36,10953.54,"44928YAL6","US44928YAL65","CDO OPPORTUNITY",2,,,"ICG 2014-1A ER",353518,5398295,"ICG US CLO 2014-1, LTD.",5157337,,"B3        ",,,"B3/-/-","3M L + 8 bps","HY",,"Mezz",,,3000,"Long",,"HY CLO","USD","US0003M",1,,,
196655748,2021-05-16 00:00:00.0000000,"Bond","AMMC 2013-12A FR","USD",2040000.00,2040000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",89.0000000000,1815600.00,2899.18,"00176EAJ6","US00176EAJ64","CDO OPPORTUNITY",2,,,"AMMC 2013-12A FR",353523,5398300,"AMMC CLO XII, LIMITED",5156960,,,"CCC+      ",,"-/CCC+/-","3M L + 8 bps","HY",,"Mezz",,,3000,"Long",,"HY CLO","USD","US0003M",1,,,
196655753,2021-05-16 00:00:00.0000000,"Bond","NCC 2017-IIA SUB","USD",4000000.00,4000000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",38.2633000000,1530532.00,0.00,"631710AB6","US631710AB67","CDO OPPORTUNITY",2,,,"NCC 2017-IIA SUB",353542,5398324,"NASSAU 2017-II LTD",5184664,,,,,"-/-/-","0.000000 %","HY",,"Equity",,,3000,"Long",,"HY CLO","USD","US0003M",1,,,
196655779,2021-05-16 00:00:00.0000000,"Bond","GOCAP 2015-22A SUBR","USD",4000000.00,4000000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",65.0000000000,2600000.00,0.00,"38174CAG8","US38174CAG87","CDO OPPORTUNITY",2,,,"GOCAP 2015-22A SUBR",353548,5398330,"GOLUB CAPITAL PARTNERS CLO 22(B), LTD.",5183855,,,,,"-/-/-","0.000000 %","HY",,"Equity",,,3000,"Long",,"HY CLO","USD","",1,,,
196655781,2021-05-16 00:00:00.0000000,"Bond","MVEW 2017-2A F","USD",3100000.00,3100000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",86.5782000000,2683924.20,22329.38,"62432KAG8","US62432KAG85","CDO OPPORTUNITY",2,,,"MVEW 2017-2A F",353556,5398342,"MOUNTAIN VIEW CLO 2017-2",5184672,,"B3        ",,,"B3/-/-","3M L + 8 bps","HY",,"Mezz",,,3000,"Long",,"HY CLO","USD","US0003M",1,,,
196655826,2021-05-16 00:00:00.0000000,"Bond","MCLO 2018-11A D","USD",1400000.00,1400000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",84.4842000000,1182778.80,5751.45,"56577RAA3","US56577RAA32","CDO OPPORTUNITY",2,,,"MCLO 2018-11A D",353607,5398389,"MARATHON CLO XI LTD",5184695,,"Ba3       ",,,"Ba3/-/-","3M L + 5 bps","HY",,"Mezz",,,3000,"Long",,"HY CLO","USD","US0003M",1,,,
196655827,2021-05-16 00:00:00.0000000,"Bond","MCLO 2018-11A SUB","USD",1850000.00,1850000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",53.8914000000,996990.90,0.00,"56577RAC9","US56577RAC97","CDO OPPORTUNITY",2,,,"MCLO 2018-11A SUB",353610,5398392,"MARATHON CLO XI LTD",5184695,,,,,"-/-/-","0.000000 %","HY",,"Equity",,,3000,"Long",,"HY CLO","USD","US0003M",1,,,
196655869,2021-05-16 00:00:00.0000000,"Bond","NCC 2018-IA SUB","USD",14436000.00,14436000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",48.6639000000,7025120.60,0.00,"63170NAC5","US63170NAC56","CDO OPPORTUNITY",2,,,"NCC 2018-IA SUB",353666,5398447,"NASSAU 2018-I",5184724,,,,,"-/-/-","0.000000 %","HY",,"Equity",,,3000,"Long",,"HY CLO","USD","US0003M",1,,,
196655901,2021-05-16 00:00:00.0000000,"Bond","SNDPT 2014-1RA E","USD",3900000.00,3900000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",92.7581000000,3617565.90,18397.52,"83607GAA5","US83607GAA58","CDO OPPORTUNITY",2,,,"SNDPT 2014-1RA E",353695,5398476,"SOUND POINT CLO V, LTD REISSUE",5184741,,"Ba3       ",,,"Ba3/-/-","3M L + 6 bps","HY",,"Mezz",,,3000,"Long",,"HY CLO","USD","US0003M",1,,,
196655905,2021-05-16 00:00:00.0000000,"Bond","VIBR 2018-8A SUB","USD",2200000.00,2200000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",52.0000000000,1144000.00,0.00,"92557RAC8","US92557RAC88","CDO OPPORTUNITY",2,,,"VIBR 2018-8A SUB",353710,5398482,"VIBRANT CLO VIII, LTD",5184681,,,,,"-/-/-","0.000000 %","HY",,"Equity",,,3000,"Long",,"HY CLO","USD","US0003M",1,,,
196655910,2021-05-16 00:00:00.0000000,"Bond","MSBAM 2013-C10 G","USD",2725000.00,2725000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",10.1386900000,276279.30,4787.96,"61762MBJ9","US61762MBJ99","CDO OPPORTUNITY",2,,,"MSBAM 2013-C10 G",353711,5398483,"MORGAN STANLEY BAML TRUST 2013-C10",5184744,,,,,"-/-/-","4.216920 %","CMBS",,"Mezz",,,3000,"Long",,"CMBS","USD","",1,,,
196655937,2021-05-16 00:00:00.0000000,"Bond","YCLO 2014-1A ERR","USD",4750000.00,4750000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",95.5728000000,4539708.00,18251.88,"986254AE0","US986254AE07","CDO OPPORTUNITY",2,,,"YCLO 2014-1A ERR",353718,5398490,"YORK CLO 1 LTD",5183974,,"Ba3       ",,,"Ba3/-/-","3M L + 5 bps","HY",,"Mezz",,,3000,"Long",,"HY CLO","USD","US0003M",1,,,
196655939,2021-05-16 00:00:00.0000000,"Bond","BLUEM 2018-2A E","USD",5000000.00,5000000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",93.2278000000,4661390.00,77179.69,"09629WAA9","US09629WAA99","CDO OPPORTUNITY",2,,,"BLUEM 2018-2A E",353719,5398491,"BLUEMOUNTAIN CLO LTD 2018-2",5184748,,,"B+        ",,"-/B+/-","3M L + 6 bps","HY",,"Mezz",,"BB-",130,"Long",,"HY CLO","USD","US0003M",1,,,
196655943,2021-05-16 00:00:00.0000000,"Bond","DRSLF 2013-26A ER","USD",2300000.00,2300000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",96.7566000000,2225401.80,11336.20,"26250UAY1","US26250UAY10","CDO OPPORTUNITY",2,,,"DRSLF 2013-26A ER",353723,5398496,"DRYDEN XXVI SENIOR LOAN FUND",72924,,,"BB-       ",,"-/BB-/-","3M L + 5 bps","HY",,"Mezz",,"BB-",130,"Long",,"HY CLO","USD","US0003M",1,,,
196655945,2021-05-16 00:00:00.0000000,"Bond","MP7 2015-1A ERR","USD",2300000.00,2300000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",88.5066000000,2035651.80,10246.07,"55320TAB9","US55320TAB98","CDO OPPORTUNITY",2,,,"MP7 2015-1A ERR",353724,5398497,"MP CLO VII, LTD",5184751,,"Ba3       ",,,"Ba3/-/-","3M L + 5 bps","HY",,"Mezz",,,3000,"Long",,"HY CLO","USD","US0003M",1,,,
196655949,2021-05-16 00:00:00.0000000,"Bond","UPT3 2018-1 A","USD",9561205.79,767224.97,2021-04-30 00:00:00.0000000,"Jefferies",96.0000000000,736535.97,0.00,"91532GAA8","US91532GAA85","CDO OPPORTUNITY",2,,,"UPT3 2018-1 A",353726,5398499,"UPGRADE PASS-THRU TRUST III",5184753,,,,,"-/-/-","0.000000 %","ABS",,"Senior",,,3000,"Long",,"Consumer Loan ABS","USD","",0.06541667848,,,
196655975,2021-05-16 00:00:00.0000000,"Bond","OCP 2014-7A DRR","USD",6000000.00,6000000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",96.1575000000,5769450.00,26079.08,"67107PAG0","US67107PAG00","CDO OPPORTUNITY",2,,,"OCP 2014-7A DRR",353729,5398502,"OCP CLO 2014-7, LTD.",5183688,,,"B+        ",,"-/B+/-","3M L + 5 bps","HY",,"Mezz",,"BB-",130,"Long",,"HY CLO","USD","US0003M",1,,,
196655980,2021-05-16 00:00:00.0000000,"Bond","WFCM 2015-LC20 E","USD",3983000.00,3983000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",73.8268200000,2940522.24,4364.70,"94989EBA4","US94989EBA47","CDO OPPORTUNITY",2,,,"WFCM 2015-LC20 E",353731,5398504,"WELLS FARGO COMMERCIAL MORTGAGE TRUST 2015-LC20",5184755,,,,,"-/-/-","2.630000 %","CMBS",,"Mezz",,,3000,"Long",,"CMBS","USD","US0001M",1,,,
196655987,2021-05-16 00:00:00.0000000,"Bond","MCLO 2018-12A D","USD",2000000.00,2000000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",86.8571000000,1737142.00,9254.63,"56578LAA5","US56578LAA52","CDO OPPORTUNITY",2,,,"MCLO 2018-12A D",353733,5398506,"MARATHON CLO XII LTD",5184756,,,"B-        ",,"-/B-/-","3M L + 5 bps","HY",,"Mezz",,,3000,"Long",,"HY CLO","USD","US0003M",1,,,
196655991,2021-05-16 00:00:00.0000000,"Bond","MCLO 2018-12A SUB","USD",1000000.00,1000000.00,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",48.2162000000,482162.00,0.00,"56578LAC1","US56578LAC19","CDO OPPORTUNITY",2,,,"MCLO 2018-12A SUB",353734,5398507,"MARATHON CLO XII LTD",5184756,,,"NR        ",,"-/NR/-","0.000000 %","HY",,"Equity",,,3000,"Long",,"HY CLO","USD","US0003M",1,,,
