ID,asofdate,fundid,type,class_id,security_master_id,description,currency,originalNotional,currentNotional,Factor,cusip,isin,Zais_Id,Counterparty_Name,wa_purchase_price,price_date,price_source,price,Market_value,accruedAmount,Begin_Accrual_Date,accrual_method,payment_date,previous_payment_date,all_in_rate,Issuer_Country,Maturity_Date,account_ID,fund_name,rating_moody,rating_sp,rating_fitch,wal,Issuer_Id,Security_Name,fund_id,Issuer_Name,coupon,Coupon_No,Currency_Source,Fund_Currency,posFxRate,FundFxRate,Fund_Market_Value,Fund_Accrued,Is_Floating,Product,Class,SubClass,CapStructure,zais_classification
203228782,2021-09-14 00:00:00.0000000,49,"Cash",,,"Custody","USD",,,,,,,,,,,,0.42,,,,,,,,,570,"EURO EPICS I PASS-THROUGH",,,,,,,49,,,,"Bloomberg","EUR",,,,,,,,,,
203228783,2021-09-14 00:00:00.0000000,50,"Cash",,,"EUR Interest Collection","EUR",,,,,,,,,,,,1651.57,,,,,,,,,564,"EURO EPICS I PROTECTED",,,,,,,50,,,,"Bloomberg","EUR",,,,,,,,,,
203228784,2021-09-14 00:00:00.0000000,50,"Cash",,,"Payment Account","EUR",,,,,,,,,,,,15000.00,,,,,,,,,567,"EURO EPICS I PROTECTED",,,,,,,50,,,,"Bloomberg","EUR",,,,,,,,,,
203228785,2021-09-14 00:00:00.0000000,50,"Cash",,,"EUR Principal Collection","EUR",,,,,,,,,,,,2025.58,,,,,,,,,5812744,"EURO EPICS I PROTECTED",,,,,,,50,,,,"Bloomberg","EUR",,,,,,,,,,
203228733,2021-09-14 00:00:00.0000000,33,"Cash",,,"Interest Collection","USD",,,,,,,,,,,,247545.23,,,,,,,,,51,"GALLERIA V",,,,,,,33,,,,"Bloomberg","USD",,,,,,,,,,
203228734,2021-09-14 00:00:00.0000000,33,"Cash",,,"Principal Collection","USD",,,,,,,,,,,,539548.28,,,,,,,,,52,"GALLERIA V",,,,,,,33,,,,"Bloomberg","USD",,,,,,,,,,
203228735,2021-09-14 00:00:00.0000000,33,"Cash",,,"Expense Reimbursement","USD",,,,,,,,,,,,21543.47,,,,,,,,,382,"GALLERIA V",,,,,,,33,,,,"Bloomberg","USD",,,,,,,,,,
203228906,2021-09-14 00:00:00.0000000,167,"Cash Equivalent",,,"Cash Equivalent","USD",,,,,,,,,,,,-1500000.00,,,,,,,,,,"ZAIS CLO 1, LIMITED",,,,,,,167,,,,"Bloomberg","USD",,,,,,,,,,
203228907,2021-09-14 00:00:00.0000000,2,"Ledger",,,"Redemptions","USD",,,,,,,,,,,,-1046522844.90,,,,,,,,,290,"CDO OPPORTUNITY",,,,,,,2,,,,"Bloomberg","USD",,,,,,,,,,
203228908,2021-09-14 00:00:00.0000000,2,"Ledger",,,"Subscriptions","USD",,,,,,,,,,,,15340027.50,,,,,,,,,291,"CDO OPPORTUNITY",,,,,,,2,,,,"Bloomberg","USD",,,,,,,,,,
203228909,2021-09-14 00:00:00.0000000,2,"Ledger",,,"Incentive Fee Payable","USD",,,,,,,,,,,,-54088687.43,,,,,,,,,654,"CDO OPPORTUNITY",,,,,,,2,,,,"Bloomberg","USD",,,,,,,,,,
203228910,2021-09-14 00:00:00.0000000,2,"Ledger",,,"BARCLAYS CAPITAL INC. (OTC Clearing) USD","USD",,,,,,,,,,,,2366499.76,,,,,,,,,726,"CDO OPPORTUNITY",,,,,,,2,,,,"Bloomberg","USD",,,,,,,,,,
203229050,2021-09-14 00:00:00.0000000,119,"Ledger",,,"Subscriptions","USD",,,,,,,,,,,,55481971.67,,,,,,,,,402,"UNC",,,,,,,119,,,,"Bloomberg","USD",,,,,,,,,,
203229051,2021-09-14 00:00:00.0000000,119,"Ledger",,,"Committed Capital","USD",,,,,,,,,,,,35000000.00,,,,,,,,,407,"UNC",,,,,,,119,,,,"Bloomberg","USD",,,,,,,,,,
203229052,2021-09-14 00:00:00.0000000,119,"Ledger",,,"Redemptions","USD",,,,,,,,,,,,-41185577.34,,,,,,,,,558,"UNC",,,,,,,119,,,,"Bloomberg","USD",,,,,,,,,,
203229053,2021-09-14 00:00:00.0000000,119,"Ledger",,,"Incentive Fee Payable","USD",,,,,,,,,,,,-5296394.33,,,,,,,,,5812791,"UNC",,,,,,,119,,,,"Bloomberg","USD",,,,,,,,,,
203229146,2021-09-14 00:00:00.0000000,146,"Ledger",,,"Committed Capital","USD",,,,,,,,,,,,82250000.00,,,,,,,,,641,"SBMA",,,,,,,146,,,,"Bloomberg","USD",,,,,,,,,,
203229147,2021-09-14 00:00:00.0000000,146,"Ledger",,,"Subscriptions","USD",,,,,,,,,,,,249457840.89,,,,,,,,,642,"SBMA",,,,,,,146,,,,"Bloomberg","USD",,,,,,,,,,
203229148,2021-09-14 00:00:00.0000000,146,"Ledger",,,"Redemptions","USD",,,,,,,,,,,,-37869414.91,,,,,,,,,643,"SBMA",,,,,,,146,,,,"Bloomberg","USD",,,,,,,,,,
203229149,2021-09-14 00:00:00.0000000,146,"Ledger",,,"Incentive Fee Payable","USD",,,,,,,,,,,,-3028836.41,,,,,,,,,5810699,"SBMA",,,,,,,146,,,,"Bloomberg","USD",,,,,,,,,,
203229154,2021-09-14 00:00:00.0000000,148,"Ledger",,,"Subscriptions","USD",,,,,,,,,,,,325000000.00,,,,,,,,,665,"INARI",,,,,,,148,,,,"Bloomberg","USD",,,,,,,,,,
203229155,2021-09-14 00:00:00.0000000,148,"Ledger",,,"Redemption","USD",,,,,,,,,,,,-71443271.35,,,,,,,,,666,"INARI",,,,,,,148,,,,"Bloomberg","USD",,,,,,,,,,
203229156,2021-09-14 00:00:00.0000000,148,"Ledger",,,"Committed Capital","USD",,,,,,,,,,,,325000000.00,,,,,,,,,670,"INARI",,,,,,,148,,,,"Bloomberg","USD",,,,,,,,,,
203229157,2021-09-14 00:00:00.0000000,148,"Ledger",,,"Redemptions","USD",,,,,,,,,,,,-370764999.36,,,,,,,,,672,"INARI",,,,,,,148,,,,"Bloomberg","USD",,,,,,,,,,
203229158,2021-09-14 00:00:00.0000000,148,"Ledger",,,"Incentive Fee Payable","USD",,,,,,,,,,,,-14411560.65,,,,,,,,,677,"INARI",,,,,,,148,,,,"Bloomberg","USD",,,,,,,,,,
203229160,2021-09-14 00:00:00.0000000,167,"Ledger",,,"Subscriptions","USD",,,,,,,,,,,,30000000.00,,,,,,,,,752,"ZAIS CLO 1, LIMITED",,,,,,,167,,,,"Bloomberg","USD",,,,,,,,,,
203229161,2021-09-14 00:00:00.0000000,167,"Ledger",,,"Funding Drawdown","USD",,,,,,,,,,,,218445055.78,,,,,,,,,754,"ZAIS CLO 1, LIMITED",,,,,,,167,,,,"Bloomberg","USD",,,,,,,,,,
203229162,2021-09-14 00:00:00.0000000,167,"Ledger",,,"Funding Repayment","USD",,,,,,,,,,,,-78202079.47,,,,,,,,,756,"ZAIS CLO 1, LIMITED",,,,,,,167,,,,"Bloomberg","USD",,,,,,,,,,
203229190,2021-09-14 00:00:00.0000000,172,"Ledger",,,"Funding Drawdown","USD",,,,,,,,,,,,235885517.68,,,,,,,,,5810684,"ZAIS CLO 2, LIMITED",,,,,,,172,,,,"Bloomberg","USD",,,,,,,,,,
203229191,2021-09-14 00:00:00.0000000,172,"Ledger",,,"Funding Repayment","USD",,,,,,,,,,,,-67838400.97,,,,,,,,,5810685,"ZAIS CLO 2, LIMITED",,,,,,,172,,,,"Bloomberg","USD",,,,,,,,,,
203229192,2021-09-14 00:00:00.0000000,172,"Ledger",,,"Subscriptions","USD",,,,,,,,,,,,35000000.00,,,,,,,,,5812675,"ZAIS CLO 2, LIMITED",,,,,,,172,,,,"Bloomberg","USD",,,,,,,,,,
203229196,2021-09-14 00:00:00.0000000,175,"Ledger",,,"Subscriptions","USD",,,,,,,,,,,,30000000.00,,,,,,,,,5812679,"ZAIS CLO 3, LIMITED",,,,,,,175,,,,"Bloomberg","USD",,,,,,,,,,
203229197,2021-09-14 00:00:00.0000000,175,"Ledger",,,"Funding Drawdown","USD",,,,,,,,,,,,170300000.00,,,,,,,,,5812680,"ZAIS CLO 3, LIMITED",,,,,,,175,,,,"Bloomberg","USD",,,,,,,,,,
203229198,2021-09-14 00:00:00.0000000,175,"Ledger",,,"Funding Repayment","USD",,,,,,,,,,,,-7000000.00,,,,,,,,,5812681,"ZAIS CLO 3, LIMITED",,,,,,,175,,,,"Bloomberg","USD",,,,,,,,,,
203229201,2021-09-14 00:00:00.0000000,180,"Ledger",,,"Subscriptions","USD",,,,,,,,,,,,82152067.42,,,,,,,,,5812693,"ZAIS ZEPHYR A-6, LP",,,,,,,180,,,,"Bloomberg","USD",,,,,,,,,,
203229202,2021-09-14 00:00:00.0000000,180,"Ledger",,,"Redemptions","USD",,,,,,,,,,,,-117257468.60,,,,,,,,,5812695,"ZAIS ZEPHYR A-6, LP",,,,,,,180,,,,"Bloomberg","USD",,,,,,,,,,
203229203,2021-09-14 00:00:00.0000000,180,"Ledger",,,"Committed Capital","USD",,,,,,,,,,,,150000000.00,,,,,,,,,5812697,"ZAIS ZEPHYR A-6, LP",,,,,,,180,,,,"Bloomberg","USD",,,,,,,,,,
203229204,2021-09-14 00:00:00.0000000,180,"Ledger",,,"Incentive Fee Payable","USD",,,,,,,,,,,,-2084425.92,,,,,,,,,5812830,"ZAIS ZEPHYR A-6, LP",,,,,,,180,,,,"Bloomberg","USD",,,,,,,,,,
203229208,2021-09-14 00:00:00.0000000,185,"Ledger",,,"Subscriptions","USD",,,,,,,,,,,,108360000.00,,,,,,,,,5812775,"ZAIS ZEPHYR 7 MASTER FUND  LTD.",,,,,,,185,,,,"Bloomberg","USD",,,,,,,,,,
203229209,2021-09-14 00:00:00.0000000,185,"Ledger",,,"Redemptions","USD",,,,,,,,,,,,-85000000.00,,,,,,,,,5812776,"ZAIS ZEPHYR 7 MASTER FUND  LTD.",,,,,,,185,,,,"Bloomberg","USD",,,,,,,,,,
203229210,2021-09-14 00:00:00.0000000,185,"Ledger",,,"Committed Capital","USD",,,,,,,,,,,,135450000.00,,,,,,,,,5812796,"ZAIS ZEPHYR 7 MASTER FUND  LTD.",,,,,,,185,,,,"Bloomberg","USD",,,,,,,,,,
203229258,2021-09-14 00:00:00.0000000,192,"Ledger",,,"Subscriptions","USD",,,,,,,,,,,,79107000.00,,,,,,,,,5812747,"PREMIA AMTRUST 2017 AGGREGATE REINSURANCE TRUST",,,,,,,192,,,,"Bloomberg","USD",,,,,,,,,,
203229259,2021-09-14 00:00:00.0000000,192,"Ledger",,,"Redemptions","USD",,,,,,,,,,,,-50543709.71,,,,,,,,,5812748,"PREMIA AMTRUST 2017 AGGREGATE REINSURANCE TRUST",,,,,,,192,,,,"Bloomberg","USD",,,,,,,,,,
203229260,2021-09-14 00:00:00.0000000,192,"Ledger",,,"Committed Capital","USD",,,,,,,,,,,,35000000.00,,,,,,,,,5812751,"PREMIA AMTRUST 2017 AGGREGATE REINSURANCE TRUST",,,,,,,192,,,,"Bloomberg","USD",,,,,,,,,,
203229261,2021-09-14 00:00:00.0000000,197,"Ledger",,,"Subscriptions","USD",,,,,,,,,,,,60501000.00,,,,,,,,,5812763,"ZAIS ZEPHYR 8, LTD",,,,,,,197,,,,"Bloomberg","USD",,,,,,,,,,
203229262,2021-09-14 00:00:00.0000000,199,"Ledger",,,"Subscriptions","USD",,,,,,,,,,,,185000000.00,,,,,,,,,5812768,"ZAIS INARI MASTER FUND 2  LTD",,,,,,,199,,,,"Bloomberg","USD",,,,,,,,,,
203229263,2021-09-14 00:00:00.0000000,199,"Ledger",,,"Incentive Fee Payable","USD",,,,,,,,,,,,-1731723.47,,,,,,,,,5812772,"ZAIS INARI MASTER FUND 2  LTD",,,,,,,199,,,,"Bloomberg","USD",,,,,,,,,,
203229264,2021-09-14 00:00:00.0000000,199,"Ledger",,,"BARCLAYS CAPITAL INC. (OTC Clearing) USD","USD",,,,,,,,,,,,1262834.92,,,,,,,,,5812794,"ZAIS INARI MASTER FUND 2  LTD",,,,,,,199,,,,"Bloomberg","USD",,,,,,,,,,
203229265,2021-09-14 00:00:00.0000000,199,"Ledger",,,"BNP PARIBAS (ISDA)","USD",,,,,,,,,,,,1465000.00,,,,,,,,,5812821,"ZAIS INARI MASTER FUND 2  LTD",,,,,,,199,,,,"Bloomberg","USD",,,,,,,,,,
203229266,2021-09-14 00:00:00.0000000,200,"Ledger",,,"Subscriptions","EUR",,,,,,,,,,,,99951010.00,,,,,,,,,5812784,"ZAIS LEVHY FUND I SCSp",,,,,,,200,,,,"Bloomberg","EUR",,,,,,,,,,
203229267,2021-09-14 00:00:00.0000000,200,"Ledger",,,"Redemption","EUR",,,,,,,,,,,,-1775000.00,,,,,,,,,5812785,"ZAIS LEVHY FUND I SCSp",,,,,,,200,,,,"Bloomberg","EUR",,,,,,,,,,
203229268,2021-09-14 00:00:00.0000000,200,"Ledger",,,"Incentive Fee Payable","EUR",,,,,,,,,,,,-2239359.84,,,,,,,,,5812788,"ZAIS LEVHY FUND I SCSp",,,,,,,200,,,,"Bloomberg","EUR",,,,,,,,,,
203229269,2021-09-14 00:00:00.0000000,200,"Ledger",,,"BARCLAYS CAPITAL INC. (OTC Clearing) USD","USD",,,,,,,,,,,,220411.74,,,,,,,,,5812814,"ZAIS LEVHY FUND I SCSp",,,,,,,200,,,,"Bloomberg","EUR",,,,,,,,,,
203229270,2021-09-14 00:00:00.0000000,205,"Ledger",,,"Subscriptions","USD",,,,,,,,,,,,427636436.69,,,,,,,,,5812805,"INARI FUND LP",,,,,,,205,,,,"Bloomberg","USD",,,,,,,,,,
203229271,2021-09-14 00:00:00.0000000,205,"Ledger",,,"Redemptions","USD",,,,,,,,,,,,-50000000.00,,,,,,,,,5812806,"INARI FUND LP",,,,,,,205,,,,"Bloomberg","USD",,,,,,,,,,
203229272,2021-09-14 00:00:00.0000000,205,"Ledger",,,"BARCLAYS CAPITAL INC. (OTC Clearing) USD","USD",,,,,,,,,,,,3161183.65,,,,,,,,,5812811,"INARI FUND LP",,,,,,,205,,,,"Bloomberg","USD",,,,,,,,,,
203229273,2021-09-14 00:00:00.0000000,205,"Ledger",,,"BNP PARIBAS (ISDA)","USD",,,,,,,,,,,,3170000.00,,,,,,,,,5812818,"INARI FUND LP",,,,,,,205,,,,"Bloomberg","USD",,,,,,,,,,
203229274,2021-09-14 00:00:00.0000000,205,"Ledger",,,"BNP PARIBAS (Repo)","USD",,,,,,,,,,,,385000.00,,,,,,,,,5812819,"INARI FUND LP",,,,,,,205,,,,"Bloomberg","USD",,,,,,,,,,
203229275,2021-09-14 00:00:00.0000000,208,"Ledger",,,"Subscriptions","USD",,,,,,,,,,,,10341164.50,,,,,,,,,5812823,"PREMIA B.D. COOKE GROUP QUOTA SHARE REINSURANCE TRUST",,,,,,,208,,,,"Bloomberg","USD",,,,,,,,,,
203229026,2021-09-14 00:00:00.0000000,117,"Ledger",,,"Redemptions","USD",,,,,,,,,,,,-145347238.99,,,,,,,,,436,"ZEPHYR RECOVERY MEZZ 2005-1",,,,,,,117,,,,"Bloomberg","USD",,,,,,,,,,
203230272,2021-09-14 00:00:00.0000000,2,"Cash",,,"Custody","USD",,,,,,,,,,,,23299950.18,,,,,,,,,35,"CDO OPPORTUNITY",,,,,,,2,,,,"Bloomberg","USD",,,,,,,,,,
203230273,2021-09-14 00:00:00.0000000,2,"Cash",,,"Barclays PB 210-25120","USD",,,,,,,,,,,,1.32,,,,,,,,,692,"CDO OPPORTUNITY",,,,,,,2,,,,"Bloomberg","USD",,,,,,,,,,
203230274,2021-09-14 00:00:00.0000000,2,"Cash",,,"Barclays PB 210-30730","USD",,,,,,,,,,,,2729.18,,,,,,,,,5812688,"CDO OPPORTUNITY",,,,,,,2,,,,"Bloomberg","USD",,,,,,,,,,
203229310,2021-09-14 00:00:00.0000000,148,"Margin",,,"BARCLAYS BANK PLC","USD",,,,,,,"BARCLAYS BANK PLC",,,,,0.49,,,,,,,,,,"INARI",,,,,,,148,,,,"Bloomberg","USD",,,,,,,,,,
203229312,2021-09-14 00:00:00.0000000,199,"Margin",,,"BNP PARIBAS","USD",,,,,,,"BNP PARIBAS",,,,,1465000.00,,,,,,,,,,"ZAIS INARI MASTER FUND 2  LTD",,,,,,,199,,,,"Bloomberg","USD",,,,,,,,,,
203229276,2021-09-14 00:00:00.0000000,2,"Margin",,,"BNP PARIBAS","USD",,,,,,,"BNP PARIBAS",,,,,2370000.00,,,,,,,,,,"CDO OPPORTUNITY",,,,,,,2,,,,"Bloomberg","USD",,,,,,,,,,
203229256,2021-09-14 00:00:00.0000000,2,"Option",,,"CDX.NA.IG.36 5 Yr - - BUY - Payer - 65 bps - Dec 15, 2021","USD",60000000.00,60000000.00,,,,"002-004-0784","BNP PARIBAS",,2021-09-13 00:00:00.0000000,"Margin_Report",-0.0045609333,-2736.56,,,,,,,,,,"CDO OPPORTUNITY",,,,,,,2,,,,"Bloomberg","USD",,,,,,,,,,
203229244,2021-09-14 00:00:00.0000000,2,"Option",,,"CDX.NA.IG.36 5 Yr - - BUY - Payer - 70 bps - Oct 20, 2021","USD",75000000.00,75000000.00,,,,"002-004-0768","BNP PARIBAS",,2021-09-13 00:00:00.0000000,"Margin_Report",0.0146735867,11005.19,,,,,,,,,,"CDO OPPORTUNITY",,,,,,,2,,,,"Bloomberg","USD",,,,,,,,,,
203229245,2021-09-14 00:00:00.0000000,205,"Option",,,"CDX.NA.IG.36 5 Yr - - BUY - Payer - 70 bps - Oct 20, 2021","USD",130000000.00,130000000.00,,,,"205-004-0769","BNP PARIBAS",,2021-09-13 00:00:00.0000000,"Margin_Report",0.0146735769,19075.65,,,,,,,,,,"INARI FUND LP",,,,,,,205,,,,"Bloomberg","USD",,,,,,,,,,
203229246,2021-09-14 00:00:00.0000000,199,"Option",,,"CDX.NA.IG.36 5 Yr - - BUY - Payer - 70 bps - Oct 20, 2021","USD",55000000.00,55000000.00,,,,"199-004-0770","BNP PARIBAS",,2021-09-13 00:00:00.0000000,"Margin_Report",0.0146735818,8070.47,,,,,,,,,,"ZAIS INARI MASTER FUND 2  LTD",,,,,,,199,,,,"Bloomberg","USD",,,,,,,,,,
203229247,2021-09-14 00:00:00.0000000,200,"Option",,,"CDX.NA.IG.36 5 Yr - - BUY - Payer - 70 bps - Oct 20, 2021","USD",40000000.00,40000000.00,,,,"200-004-0771","BNP PARIBAS",,2021-09-13 00:00:00.0000000,"Margin_Report",0.0146735750,5869.43,,,,,,,,,,"ZAIS LEVHY FUND I SCSp",,,,,,,200,,,,"Bloomberg","EUR",,,,,,,,,,
203229316,2021-09-14 00:00:00.0000000,200,"Margin",,,"BNP PARIBAS","USD",,,,,,,"BNP PARIBAS",,,,,790000.00,,,,,,,,,,"ZAIS LEVHY FUND I SCSp",,,,,,,200,,,,"Bloomberg","EUR",,,,,,,,,,
203229319,2021-09-14 00:00:00.0000000,205,"Margin",,,"BNP PARIBAS","USD",,,,,,,"BNP PARIBAS",,,,,3555000.00,,,,,,,,,,"INARI FUND LP",,,,,,,205,,,,"Bloomberg","USD",,,,,,,,,,
203230220,2021-09-14 00:00:00.0000000,205,"Option",,,"CDX.NA.IG.36 5 Yr - - BUY - Payer - 65 bps - Dec 15, 2021","USD",110000000.00,110000000.00,,,,"205-004-0785","BNP PARIBAS",,2021-09-13 00:00:00.0000000,"Margin_Report",-0.0045609364,-5017.03,,,,,,,,,,"INARI FUND LP",,,,,,,205,,,,"Bloomberg","USD",,,,,,,,,,
203230221,2021-09-14 00:00:00.0000000,199,"Option",,,"CDX.NA.IG.36 5 Yr - - BUY - Payer - 65 bps - Dec 15, 2021","USD",45000000.00,45000000.00,,,,"199-004-0786","BNP PARIBAS",,2021-09-13 00:00:00.0000000,"Margin_Report",-0.0045609333,-2052.42,,,,,,,,,,"ZAIS INARI MASTER FUND 2  LTD",,,,,,,199,,,,"Bloomberg","USD",,,,,,,,,,
203230222,2021-09-14 00:00:00.0000000,200,"Option",,,"CDX.NA.IG.36 5 Yr - - BUY - Payer - 65 bps - Dec 15, 2021","USD",35000000.00,35000000.00,,,,"200-004-0787","BNP PARIBAS",,2021-09-13 00:00:00.0000000,"Margin_Report",-0.0045609429,-1596.33,,,,,,,,,,"ZAIS LEVHY FUND I SCSp",,,,,,,200,,,,"Bloomberg","EUR",,,,,,,,,,
203230223,2021-09-14 00:00:00.0000000,2,"Option",,,"CDX.NA.IG.36 5 Yr - - SALE - Payer - 85 bps - Dec 15, 2021","USD",60000000.00,60000000.00,,,,"002-004-0788","BNP PARIBAS",,2021-09-13 00:00:00.0000000,"Margin_Report",0.0022145333,1328.72,,,,,,,,,,"CDO OPPORTUNITY",,,,,,,2,,,,"Bloomberg","USD",,,,,,,,,,
203230224,2021-09-14 00:00:00.0000000,205,"Option",,,"CDX.NA.IG.36 5 Yr - - SALE - Payer - 85 bps - Dec 15, 2021","USD",110000000.00,110000000.00,,,,"205-004-0789","BNP PARIBAS",,2021-09-13 00:00:00.0000000,"Margin_Report",0.0022145182,2435.97,,,,,,,,,,"INARI FUND LP",,,,,,,205,,,,"Bloomberg","USD",,,,,,,,,,
203230225,2021-09-14 00:00:00.0000000,199,"Option",,,"CDX.NA.IG.36 5 Yr - - SALE - Payer - 85 bps - Dec 15, 2021","USD",45000000.00,45000000.00,,,,"199-004-0790","BNP PARIBAS",,2021-09-13 00:00:00.0000000,"Margin_Report",0.0022145111,996.53,,,,,,,,,,"ZAIS INARI MASTER FUND 2  LTD",,,,,,,199,,,,"Bloomberg","USD",,,,,,,,,,
203230226,2021-09-14 00:00:00.0000000,200,"Option",,,"CDX.NA.IG.36 5 Yr - - SALE - Payer - 85 bps - Dec 15, 2021","USD",35000000.00,35000000.00,,,,"200-004-0791","BNP PARIBAS",,2021-09-13 00:00:00.0000000,"Margin_Report",0.0022145429,775.09,,,,,,,,,,"ZAIS LEVHY FUND I SCSp",,,,,,,200,,,,"Bloomberg","EUR",,,,,,,,,,
203230227,2021-09-14 00:00:00.0000000,199,"Option",,,"ZAIS Buys 105 Put Option  on IWM Strike at $ 210 on 9/17/2021 - Sep 17, 2021","USD",10500.00,10500.00,,,,"199-004-0762","BNP PARIBAS",,2021-09-13 00:00:00.0000000,"Margin_Report",17.9732380952,1887.19,,,,,,,,,,"ZAIS INARI MASTER FUND 2  LTD",,,,,,,199,,,,"Bloomberg","USD",,,,,,,,,,
203230228,2021-09-14 00:00:00.0000000,2,"Option",,,"ZAIS Buys 1250 Put Option  on LQD Strike at $ 126 on 9/17/2021 - Sep 17, 2021","USD",125000.00,125000.00,,,,"002-004-0752","BNP PARIBAS",,2021-09-13 00:00:00.0000000,"Margin_Report",1.5201760000,1900.22,,,,,,,,,,"CDO OPPORTUNITY",,,,,,,2,,,,"Bloomberg","USD",,,,,,,,,,
